====================
Model: IMDN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 074] train_loss=0.0034 | train_psnr=27.68 dB | val_loss=0.0024 | val_psnr=28.40 dB | time=2.5s
[Epoch 075] train_loss=0.0033 | train_psnr=27.67 dB | val_loss=0.0024 | val_psnr=28.41 dB | time=2.5s
[Epoch 076] train_loss=0.0033 | train_psnr=27.70 dB | val_loss=0.0024 | val_psnr=28.41 dB | time=2.4s
[Epoch 077] train_loss=0.0033 | train_psnr=27.75 dB | val_loss=0.0024 | val_psnr=28.43 dB | time=2.6s
[Epoch 078] train_loss=0.0032 | train_psnr=27.86 dB | val_loss=0.0024 | val_psnr=28.41 dB | time=2.4s
[Epoch 079] train_loss=0.0033 | train_psnr=27.71 dB | val_loss=0.0024 | val_psnr=28.43 dB | time=2.6s
[Epoch 080] train_loss=0.0033 | train_psnr=27.72 dB | val_loss=0.0024 | val_psnr=28.43 dB | time=2.5s
[Epoch 081] train_loss=0.0033 | train_psnr=27.75 dB | val_loss=0.0024 | val_psnr=28.44 dB | time=2.5s
[Epoch 082] train_loss=0.0032 | train_psnr=27.80 dB | val_loss=0.0024 | val_psnr=28.44 dB | time=2.5s
[Epoch 083] train_loss=0.0033 | train_psnr=27.69 dB | val_loss=0.0024 | val_psnr=28.44 dB | time=2.5s
[Epoch 084] train_loss=0.0033 | train_psnr=27.58 dB | val_loss=0.0024 | val_psnr=28.41 dB | time=2.6s
[Epoch 085] train_loss=0.0032 | train_psnr=27.81 dB | val_loss=0.0023 | val_psnr=28.44 dB | time=2.6s
[Epoch 086] train_loss=0.0032 | train_psnr=27.75 dB | val_loss=0.0023 | val_psnr=28.41 dB | time=2.5s
[Epoch 087] train_loss=0.0032 | train_psnr=27.68 dB | val_loss=0.0023 | val_psnr=28.43 dB | time=2.4s
[Epoch 088] train_loss=0.0032 | train_psnr=27.88 dB | val_loss=0.0023 | val_psnr=28.45 dB | time=2.3s
[Epoch 089] train_loss=0.0032 | train_psnr=27.80 dB | val_loss=0.0023 | val_psnr=28.45 dB | time=2.5s
[Epoch 090] train_loss=0.0031 | train_psnr=27.88 dB | val_loss=0.0023 | val_psnr=28.46 dB | time=2.6s
[Epoch 091] train_loss=0.0031 | train_psnr=28.00 dB | val_loss=0.0023 | val_psnr=28.47 dB | time=2.5s
[Epoch 092] train_loss=0.0033 | train_psnr=27.71 dB | val_loss=0.0023 | val_psnr=28.48 dB | time=2.4s
[Epoch 093] train_loss=0.0032 | train_psnr=27.82 dB | val_loss=0.0023 | val_psnr=28.47 dB | time=2.5s
[Epoch 094] train_loss=0.0032 | train_psnr=27.81 dB | val_loss=0.0024 | val_psnr=28.27 dB | time=2.5s
[Epoch 095] train_loss=0.0033 | train_psnr=27.57 dB | val_loss=0.0023 | val_psnr=28.43 dB | time=2.4s
[Epoch 096] train_loss=0.0032 | train_psnr=27.51 dB | val_loss=0.0024 | val_psnr=28.27 dB | time=2.5s
[Epoch 097] train_loss=0.0032 | train_psnr=27.67 dB | val_loss=0.0023 | val_psnr=28.46 dB | time=2.5s
[Epoch 098] train_loss=0.0032 | train_psnr=27.83 dB | val_loss=0.0023 | val_psnr=28.48 dB | time=2.5s
[Epoch 099] train_loss=0.0032 | train_psnr=27.64 dB | val_loss=0.0023 | val_psnr=28.50 dB | time=2.5s
[Epoch 100] train_loss=0.0031 | train_psnr=27.89 dB | val_loss=0.0023 | val_psnr=28.51 dB | time=2.5s
[Epoch 101] train_loss=0.0031 | train_psnr=27.79 dB | val_loss=0.0023 | val_psnr=28.50 dB | time=2.5s
[Epoch 102] train_loss=0.0031 | train_psnr=27.88 dB | val_loss=0.0023 | val_psnr=28.51 dB | time=2.6s
[Epoch 103] train_loss=0.0031 | train_psnr=27.79 dB | val_loss=0.0023 | val_psnr=28.52 dB | time=2.4s
[Epoch 104] train_loss=0.0031 | train_psnr=27.93 dB | val_loss=0.0023 | val_psnr=28.51 dB | time=2.5s
[Epoch 105] train_loss=0.0031 | train_psnr=27.79 dB | val_loss=0.0023 | val_psnr=28.52 dB | time=2.6s
[Epoch 106] train_loss=0.0031 | train_psnr=27.78 dB | val_loss=0.0024 | val_psnr=28.49 dB | time=2.4s
[Epoch 107] train_loss=0.0031 | train_psnr=27.80 dB | val_loss=0.0023 | val_psnr=28.52 dB | time=2.4s
[Epoch 108] train_loss=0.0031 | train_psnr=27.75 dB | val_loss=0.0023 | val_psnr=28.53 dB | time=2.5s
[Epoch 109] train_loss=0.0030 | train_psnr=27.87 dB | val_loss=0.0023 | val_psnr=28.53 dB | time=2.6s
[Epoch 110] train_loss=0.0032 | train_psnr=27.74 dB | val_loss=0.0023 | val_psnr=28.54 dB | time=2.6s
[Epoch 111] train_loss=0.0030 | train_psnr=27.93 dB | val_loss=0.0023 | val_psnr=28.54 dB | time=2.4s
[Epoch 112] train_loss=0.0031 | train_psnr=27.79 dB | val_loss=0.0023 | val_psnr=28.51 dB | time=2.5s
[Epoch 113] train_loss=0.0031 | train_psnr=27.81 dB | val_loss=0.0023 | val_psnr=28.42 dB | time=2.5s
