====================
Model: FSRCNN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 144] train_loss=0.0022 | train_psnr=30.72 dB | val_loss=0.0012 | val_psnr=32.41 dB | time=1.8s
[Epoch 145] train_loss=0.0021 | train_psnr=30.78 dB | val_loss=0.0012 | val_psnr=32.44 dB | time=1.8s
[Epoch 146] train_loss=0.0022 | train_psnr=30.71 dB | val_loss=0.0012 | val_psnr=32.39 dB | time=1.9s
[Epoch 147] train_loss=0.0021 | train_psnr=31.03 dB | val_loss=0.0012 | val_psnr=32.47 dB | time=1.8s
[Epoch 148] train_loss=0.0022 | train_psnr=30.84 dB | val_loss=0.0012 | val_psnr=32.48 dB | time=1.8s
[Epoch 149] train_loss=0.0022 | train_psnr=30.81 dB | val_loss=0.0012 | val_psnr=32.50 dB | time=1.8s
[Epoch 150] train_loss=0.0021 | train_psnr=30.94 dB | val_loss=0.0011 | val_psnr=32.47 dB | time=1.8s
[Epoch 151] train_loss=0.0021 | train_psnr=30.93 dB | val_loss=0.0011 | val_psnr=32.53 dB | time=1.8s
[Epoch 152] train_loss=0.0021 | train_psnr=30.97 dB | val_loss=0.0012 | val_psnr=32.54 dB | time=1.8s
[Epoch 153] train_loss=0.0021 | train_psnr=31.01 dB | val_loss=0.0011 | val_psnr=32.56 dB | time=1.8s
[Epoch 154] train_loss=0.0021 | train_psnr=31.01 dB | val_loss=0.0011 | val_psnr=32.59 dB | time=1.9s
[Epoch 155] train_loss=0.0021 | train_psnr=30.94 dB | val_loss=0.0012 | val_psnr=32.49 dB | time=1.9s
[Epoch 156] train_loss=0.0021 | train_psnr=30.98 dB | val_loss=0.0011 | val_psnr=32.61 dB | time=1.8s
[Epoch 157] train_loss=0.0020 | train_psnr=31.11 dB | val_loss=0.0011 | val_psnr=32.64 dB | time=1.9s
[Epoch 158] train_loss=0.0020 | train_psnr=31.10 dB | val_loss=0.0011 | val_psnr=32.64 dB | time=1.8s
