====================
Model: SRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 119] train_loss=0.0029 | train_psnr=28.55 dB | val_loss=0.0020 | val_psnr=29.31 dB | time=1.8s
[Epoch 120] train_loss=0.0030 | train_psnr=28.59 dB | val_loss=0.0020 | val_psnr=29.34 dB | time=1.9s
[Epoch 121] train_loss=0.0030 | train_psnr=28.50 dB | val_loss=0.0020 | val_psnr=29.34 dB | time=1.8s
[Epoch 122] train_loss=0.0029 | train_psnr=28.75 dB | val_loss=0.0020 | val_psnr=29.35 dB | time=1.9s
[Epoch 123] train_loss=0.0028 | train_psnr=28.70 dB | val_loss=0.0020 | val_psnr=29.36 dB | time=1.8s
[Epoch 124] train_loss=0.0029 | train_psnr=28.60 dB | val_loss=0.0020 | val_psnr=29.37 dB | time=1.9s
[Epoch 125] train_loss=0.0029 | train_psnr=28.65 dB | val_loss=0.0020 | val_psnr=29.38 dB | time=1.8s
[Epoch 126] train_loss=0.0029 | train_psnr=28.61 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=1.8s
[Epoch 127] train_loss=0.0029 | train_psnr=28.69 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=1.7s
[Epoch 128] train_loss=0.0029 | train_psnr=28.65 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=1.8s
[Epoch 129] train_loss=0.0029 | train_psnr=28.64 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=1.8s
[Epoch 130] train_loss=0.0029 | train_psnr=28.57 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=1.8s
[Epoch 131] train_loss=0.0028 | train_psnr=28.78 dB | val_loss=0.0019 | val_psnr=29.45 dB | time=1.8s
[Epoch 132] train_loss=0.0029 | train_psnr=28.60 dB | val_loss=0.0019 | val_psnr=29.46 dB | time=1.8s
[Epoch 133] train_loss=0.0029 | train_psnr=28.67 dB | val_loss=0.0019 | val_psnr=29.47 dB | time=1.8s
[Epoch 134] train_loss=0.0028 | train_psnr=28.75 dB | val_loss=0.0019 | val_psnr=29.46 dB | time=1.7s
[Epoch 135] train_loss=0.0028 | train_psnr=28.71 dB | val_loss=0.0019 | val_psnr=29.47 dB | time=1.8s
[Epoch 136] train_loss=0.0028 | train_psnr=28.80 dB | val_loss=0.0019 | val_psnr=29.48 dB | time=1.8s
[Epoch 137] train_loss=0.0028 | train_psnr=28.83 dB | val_loss=0.0019 | val_psnr=29.48 dB | time=1.8s
[Epoch 138] train_loss=0.0028 | train_psnr=28.68 dB | val_loss=0.0019 | val_psnr=29.51 dB | time=1.8s
[Epoch 139] train_loss=0.0028 | train_psnr=28.86 dB | val_loss=0.0019 | val_psnr=29.51 dB | time=1.8s
[Epoch 140] train_loss=0.0029 | train_psnr=28.73 dB | val_loss=0.0019 | val_psnr=29.53 dB | time=1.8s
[Epoch 141] train_loss=0.0028 | train_psnr=28.72 dB | val_loss=0.0019 | val_psnr=29.54 dB | time=1.8s
[Epoch 142] train_loss=0.0028 | train_psnr=28.93 dB | val_loss=0.0019 | val_psnr=29.55 dB | time=1.8s
[Epoch 143] train_loss=0.0028 | train_psnr=28.88 dB | val_loss=0.0019 | val_psnr=29.53 dB | time=1.8s
[Epoch 144] train_loss=0.0028 | train_psnr=28.71 dB | val_loss=0.0019 | val_psnr=29.56 dB | time=1.8s
[Epoch 145] train_loss=0.0028 | train_psnr=28.74 dB | val_loss=0.0019 | val_psnr=29.57 dB | time=1.8s
