====================
Model: ESPCN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 079] train_loss=0.0050 | train_psnr=27.17 dB | val_loss=0.0032 | val_psnr=28.53 dB | time=1.6s
[Epoch 080] train_loss=0.0047 | train_psnr=27.37 dB | val_loss=0.0032 | val_psnr=28.52 dB | time=1.6s
[Epoch 081] train_loss=0.0047 | train_psnr=27.41 dB | val_loss=0.0031 | val_psnr=28.68 dB | time=1.6s
[Epoch 082] train_loss=0.0047 | train_psnr=27.42 dB | val_loss=0.0031 | val_psnr=28.47 dB | time=1.7s
[Epoch 083] train_loss=0.0047 | train_psnr=27.32 dB | val_loss=0.0031 | val_psnr=28.46 dB | time=1.7s
[Epoch 084] train_loss=0.0047 | train_psnr=27.40 dB | val_loss=0.0030 | val_psnr=28.81 dB | time=1.6s
[Epoch 085] train_loss=0.0045 | train_psnr=27.56 dB | val_loss=0.0030 | val_psnr=28.89 dB | time=1.6s
[Epoch 086] train_loss=0.0044 | train_psnr=27.67 dB | val_loss=0.0029 | val_psnr=28.94 dB | time=1.6s
[Epoch 087] train_loss=0.0044 | train_psnr=27.71 dB | val_loss=0.0029 | val_psnr=28.97 dB | time=1.7s
[Epoch 088] train_loss=0.0044 | train_psnr=27.68 dB | val_loss=0.0029 | val_psnr=29.02 dB | time=1.6s
[Epoch 089] train_loss=0.0044 | train_psnr=27.75 dB | val_loss=0.0029 | val_psnr=29.04 dB | time=1.6s
[Epoch 090] train_loss=0.0043 | train_psnr=27.81 dB | val_loss=0.0028 | val_psnr=29.03 dB | time=1.6s
[Epoch 091] train_loss=0.0043 | train_psnr=27.90 dB | val_loss=0.0028 | val_psnr=29.14 dB | time=1.6s
[Epoch 092] train_loss=0.0043 | train_psnr=27.93 dB | val_loss=0.0028 | val_psnr=29.15 dB | time=1.7s
[Epoch 093] train_loss=0.0042 | train_psnr=28.04 dB | val_loss=0.0028 | val_psnr=29.06 dB | time=1.7s
[Epoch 094] train_loss=0.0042 | train_psnr=28.01 dB | val_loss=0.0028 | val_psnr=28.93 dB | time=1.6s
[Epoch 095] train_loss=0.0041 | train_psnr=28.07 dB | val_loss=0.0027 | val_psnr=29.26 dB | time=1.6s
[Epoch 096] train_loss=0.0040 | train_psnr=28.18 dB | val_loss=0.0027 | val_psnr=29.28 dB | time=1.6s
[Epoch 097] train_loss=0.0041 | train_psnr=28.08 dB | val_loss=0.0026 | val_psnr=29.30 dB | time=1.7s
[Epoch 098] train_loss=0.0040 | train_psnr=28.08 dB | val_loss=0.0027 | val_psnr=29.32 dB | time=1.7s
[Epoch 099] train_loss=0.0040 | train_psnr=28.19 dB | val_loss=0.0026 | val_psnr=29.19 dB | time=1.7s
[Epoch 100] train_loss=0.0039 | train_psnr=28.16 dB | val_loss=0.0025 | val_psnr=29.53 dB | time=1.6s
[Epoch 101] train_loss=0.0040 | train_psnr=28.30 dB | val_loss=0.0025 | val_psnr=29.58 dB | time=1.6s
[Epoch 102] train_loss=0.0038 | train_psnr=28.38 dB | val_loss=0.0026 | val_psnr=29.24 dB | time=1.6s
[Epoch 103] train_loss=0.0039 | train_psnr=28.15 dB | val_loss=0.0025 | val_psnr=29.64 dB | time=1.6s
[Epoch 104] train_loss=0.0038 | train_psnr=28.47 dB | val_loss=0.0025 | val_psnr=29.68 dB | time=1.6s
[Epoch 105] train_loss=0.0037 | train_psnr=28.57 dB | val_loss=0.0024 | val_psnr=29.69 dB | time=1.6s
[Epoch 106] train_loss=0.0036 | train_psnr=28.63 dB | val_loss=0.0024 | val_psnr=29.71 dB | time=1.7s
[Epoch 107] train_loss=0.0037 | train_psnr=28.59 dB | val_loss=0.0024 | val_psnr=29.77 dB | time=1.7s
[Epoch 108] train_loss=0.0037 | train_psnr=28.59 dB | val_loss=0.0024 | val_psnr=29.67 dB | time=1.7s
